receitask,valorpago,usuariosk,calendariosk,enderecosk
3055,46,1267,215,61
3518,53,512,215,62
3148,24,1758,215,19
1358,20,1405,216,84
1152,74,981,216,15
2944,28,1486,216,8
2689,58,1346,216,217
1015,67,1408,217,32
1079,78,1541,217,67
3821,45,1396,217,8
4706,69,1091,217,7
297,7,81,218,156
695,25,1231,218,67
605,1,1576,218,29
1037,38,1646,218,217
2082,75,1658,218,100
5577,42,967,218,67
553,67,1565,219,125
1460,27,1439,219,125
4200,46,1267,219,61
5129,43,967,219,67
5852,50,573,219,84
226,32,414,220,75
1072,11,242,220,35
1782,41,1780,220,12
3645,87,173,220,124
4345,23,50,220,21
5588,53,1726,220,68
5941,55,1677,220,53
1238,91,43,221,33
2118,53,90,221,62
202,89,617,222,2
1227,46,5,222,32
2315,94,1083,222,2
2989,22,1809,222,23
2743,88,1817,222,29
3236,34,1304,222,62
4020,19,1828,222,18
2263,52,1054,223,11
2192,35,209,223,68
2702,22,118,223,11
235,93,1011,224,78
4515,90,131,224,3
5096,17,866,224,41
5040,28,278,224,39
4632,56,603,224,12
665,69,925,225,124
1846,53,1930,225,36
1552,56,1339,225,20
2448,87,808,225,61
3609,41,1385,225,28
4245,92,636,225,2
5643,82,619,225,18
51,15,1169,226,61
1031,8,1728,226,22
4360,74,449,226,134
5204,57,1510,226,6
2278,62,888,227,118
3078,89,1363,227,25
4308,60,1498,227,53
4207,34,527,227,7
1191,1,843,228,134
1112,52,654,228,20
1752,98,1766,228,217
3037,90,1347,228,72
3147,62,755,228,6
3084,6,992,228,20
5203,96,434,228,29
401,42,1371,229,20
5033,71,1385,229,28
5781,74,1707,229,10
987,47,524,230,42
798,89,1386,230,20
1830,13,1763,230,21
5541,94,672,230,61
194,54,1708,231,12
950,57,1200,231,10
771,61,1710,231,76
643,16,23,231,2
2434,7,365,231,2
4994,74,1712,231,217
5585,62,793,231,62
5726,62,1463,231,28
357,35,1964,232,33
77,1,963,232,124
10,76,1195,232,22
1493,91,671,232,32
1049,87,219,232,61
2034,15,619,232,18
2022,53,739,232,2
1908,46,1255,232,28
4805,52,644,232,4
5952,77,1909,232,124
816,92,1740,233,36
1302,60,1310,233,17
1705,1,1236,233,22
2280,57,541,233,124
2195,9,1931,233,124
2611,71,1197,233,15
4026,41,279,233,22
678,52,10,234,35
3374,58,637,234,15
3279,22,942,234,151
3835,44,1167,234,14
4616,62,1567,234,29
5862,61,862,234,17
1347,69,723,235,134
1921,91,1186,235,151
2551,20,1253,235,41
3425,47,1236,235,22
4170,95,279,235,22
5587,60,314,235,80
5527,19,472,235,23
5294,75,699,235,35
837,36,1787,236,151
1481,87,712,236,125
2208,88,432,236,8
3223,13,1174,236,6
3921,45,206,236,25
3851,32,1029,236,72
4871,8,578,236,23
4633,15,1520,236,20
73,77,482,237,72
24,82,1293,237,151
567,31,1273,237,18
2094,63,877,237,39
3093,24,936,237,62
4373,82,824,237,125
4229,89,365,237,2
5692,68,606,237,75
305,4,1275,238,42
171,88,1508,238,67
887,44,1456,238,12
692,22,1881,238,1
2843,78,1518,238,23
2706,19,202,238,100
2697,88,1925,238,125
3974,46,1967,238,80
4897,92,1207,238,25
1416,23,1746,239,6
3411,36,1644,239,67
5906,91,802,239,36
48,21,766,240,75
2364,45,1946,240,8
3307,21,1455,240,28
3923,85,713,240,35
908,78,1228,241,118
659,18,1665,241,10
538,85,292,241,6
1208,57,1796,241,39
1916,79,761,241,125
1799,19,725,241,39
2370,64,113,241,35
2919,2,384,241,75
2888,68,398,241,17
4478,1,1685,241,68
4960,96,1573,241,4
2116,5,1578,242,118
4073,80,503,242,75
4310,99,545,242,14
5556,16,313,242,11
5305,18,327,242,75
240,9,477,243,7
1791,80,702,243,67
3033,26,576,243,11
3131,30,413,243,38
4166,47,355,243,124
5036,45,1788,243,156
440,75,1886,244,21
1548,54,1408,244,32
4152,19,969,244,11
161,49,911,245,7
3268,44,1180,245,78
4904,32,1406,245,42
4713,66,1583,245,84
430,22,172,246,12
1775,80,1163,246,33
1556,93,298,246,15
2565,86,1787,246,151
4375,2,1050,246,23
5358,9,1574,246,25
1361,84,850,247,6
2168,96,412,247,84
3393,80,1020,247,124
3917,41,527,247,7
25,16,21,248,23
1180,64,803,248,6
2257,35,637,248,15
3421,20,1813,248,42
948,70,624,249,42
1158,89,134,249,17
2021,66,202,249,100
3141,16,1107,249,21
4180,100,239,249,35
1443,1,1443,250,67
2539,77,503,250,75
2307,54,1394,250,62
3149,67,1674,250,217
5991,95,422,250,29
5990,94,82,250,53
994,73,1350,251,32
2012,37,359,251,35
1571,76,751,251,2
2338,54,1363,251,25
3555,10,15,251,28
4722,82,1981,251,151
581,79,283,252,40
536,90,745,252,28
1403,8,254,252,23
4379,1,1289,252,36
4668,48,1613,252,25
5671,98,1335,252,41
38,58,1814,253,118
3474,83,73,253,76
3956,24,17,253,151
3865,32,1586,253,7
3586,34,1951,253,38
4305,78,1371,253,20
5157,62,754,253,39
594,19,664,254,36
1161,95,79,254,14
2730,79,1193,254,217
3385,94,100,254,32
3918,25,1436,254,156
3903,55,434,254,29
4354,77,701,254,23
5507,21,1311,254,62
5772,45,566,254,217
5668,88,1337,254,75
5634,64,1648,254,84
282,54,1130,255,36
1517,57,503,255,75
1607,98,836,255,42
2410,77,612,255,80
2241,94,769,255,61
4049,63,1529,255,23
4814,60,1108,255,39
238,45,1070,256,39
1480,71,1396,256,8
1127,38,1947,256,18
1047,83,1880,256,18
2037,33,1776,256,75
3897,62,1633,256,1
4202,47,693,256,84
638,30,1400,257,20
3015,94,1350,257,32
3562,91,1156,257,118
5842,32,218,257,25
5691,77,444,257,151
1932,78,1325,258,19
1849,25,1282,258,11
1636,2,1721,258,151
2826,86,301,258,80
3186,39,730,258,61
2115,21,1681,259,4
3495,39,1064,259,15
5092,6,163,259,124
1359,63,519,260,38
4075,24,1909,260,124
3686,99,625,260,4
5445,26,621,260,18
1084,90,912,261,28
1648,58,777,261,1
2630,53,1861,261,134
5441,52,463,261,1
308,78,481,262,62
2891,65,456,262,2
2692,11,617,262,2
3576,1,19,262,151
3218,62,1937,262,67
3902,83,1794,262,118
2003,59,887,263,35
2667,97,883,263,11
3194,75,1130,263,36
5299,80,518,263,42
490,68,1064,264,15
1871,83,879,264,68
4470,33,1166,264,68
1058,84,1602,265,217
2511,73,1417,265,25
3239,66,1976,265,22
4067,95,1076,265,7
4462,69,1779,265,15
149,56,1392,266,17
894,3,1387,266,29
1946,16,1658,266,100
3513,63,702,266,67
3759,40,127,266,19
5609,73,337,266,42
956,93,7,267,217
937,47,35,267,42
561,80,1230,267,11
1151,56,975,267,80
2849,21,722,267,20
4801,40,893,267,67
276,70,1777,268,217
3791,33,65,268,17
5659,9,277,268,134
1105,21,1008,269,39
1970,36,1612,269,76
4041,19,1816,269,22
4578,53,1746,269,6
4953,87,1324,269,29
1314,40,63,270,20
3004,31,1045,270,35
3335,82,1132,270,75
3797,67,1236,270,22
4507,90,742,270,25
4970,57,1848,270,20
4968,37,933,270,14
5823,81,334,270,1
755,88,573,271,84
1030,87,1091,271,7
2998,20,1726,271,68
2864,69,1115,271,17
3764,68,29,271,61
3639,6,1491,271,67
4479,95,1767,271,100
810,53,1977,272,23
1066,73,14,272,118
2265,40,1057,272,40
2202,1,184,272,32
2649,42,661,272,14
3887,50,1001,272,10
5887,39,686,272,68
5695,44,1144,272,12
1936,15,1094,273,72
3697,22,1019,273,10
1503,73,218,274,25
2414,89,263,274,17
2385,5,1350,274,32
2936,48,1454,274,68
3743,96,376,274,12
5623,1,1237,274,38
5440,64,1044,274,36
1357,13,791,275,156
1934,41,1436,275,156
1873,28,123,275,10
1652,11,911,275,7
2724,81,585,275,1
3640,25,1801,275,20
4552,85,1819,275,2
1364,83,280,276,53
1297,17,31,276,10
2918,71,1435,276,11
3392,92,94,276,41
3720,45,507,276,124
5431,42,169,276,38
146,93,22,277,217
807,83,45,277,68
1844,97,1250,277,23
2337,89,239,277,35
2948,100,1250,277,23
3410,97,1187,277,19
3747,72,1267,277,61
5101,38,1583,278,84
4624,23,861,278,53
5593,92,312,278,100
5339,38,719,278,42
290,43,166,279,1
925,47,146,279,40
892,84,1570,279,68
1309,18,1246,279,4
4912,41,1476,279,12
5147,63,1919,279,7
1240,23,158,280,41
4274,24,621,280,18
4900,44,111,280,33
4765,15,1907,280,134
431,90,430,281,124
111,41,959,281,41
2164,83,219,281,61
3754,57,898,281,18
5764,14,1327,281,3
289,5,482,282,72
2595,19,651,282,20
4490,67,1655,282,23
4474,29,1170,282,19
4224,9,819,282,124
5497,43,889,282,62
616,81,1116,283,36
615,36,354,283,41
569,48,1794,283,118
1212,71,1966,283,32
3358,79,61,283,20
3643,31,65,283,17
4387,88,1589,283,38
801,76,418,284,38
1985,66,879,284,68
1839,19,1862,284,19
1726,25,1590,284,100
2416,85,692,284,10
3680,8,1593,284,23
4430,82,273,284,124
336,3,1008,285,39
613,58,1168,285,36
2140,3,1599,285,6
2771,35,1835,285,15
2610,36,986,285,1
5462,65,1129,285,76
5122,15,1286,285,151
5873,99,1789,285,40
339,33,1313,286,35
1879,98,294,286,7
3455,98,642,286,8
4600,77,525,286,38
5901,26,666,286,53
5785,65,1140,286,42
1056,71,1550,287,39
2244,3,782,287,84
2231,69,1086,287,75
2679,20,952,287,62
4032,75,277,287,134
4301,74,1551,287,10
4894,70,1897,287,4
691,38,123,288,10
1137,88,678,288,78
3416,38,1523,288,19
3277,91,1201,288,7
3948,57,1344,288,100
4154,62,1554,288,11
4781,18,1023,288,25
4609,20,1010,288,6
275,13,1318,289,80
1224,35,1366,289,84
4644,35,881,289,124
207,65,81,290,156
1410,15,557,290,68
1312,97,1445,290,62
3648,6,128,290,18
4833,63,127,290,19
133,24,1722,291,19
41,58,710,291,28
3246,20,601,291,8
5287,53,1638,291,29
292,5,468,292,2
2791,63,846,292,36
3982,66,790,292,28
4494,50,1816,292,22
5489,23,1423,292,67
5713,92,718,292,118
917,56,1834,293,84
1801,30,315,293,100
3501,100,1845,293,42
3674,31,1021,293,100
4314,11,507,293,124
4931,11,277,293,134
5849,66,1937,293,67
342,19,6,294,8
2247,59,58,294,23
2709,54,1227,294,1
1290,33,666,295,53
3156,7,1206,295,134
4566,39,1160,295,17
5370,67,1900,295,8
5650,79,913,295,72
931,7,998,296,53
1316,7,487,296,151
1650,78,1057,296,40
4338,77,1306,296,76
4255,32,1742,296,118
236,22,814,297,8
1155,12,1616,297,41
1071,55,1829,297,33
2316,86,1544,297,41
2993,43,876,297,25
2741,72,1053,297,28
4782,51,1318,297,80
5484,73,257,297,61
1431,15,930,298,1
1261,52,1462,298,29
1843,69,741,298,100
1674,69,1313,298,35
3120,19,934,298,29
4000,50,839,298,1
4112,66,206,298,25
4911,74,1200,298,10
369,65,1508,299,67
1759,77,1374,299,78
2534,89,1405,299,84
1665,35,1344,300,100
2423,23,774,300,40
2289,29,1180,300,78
2677,31,1639,300,62
2587,91,1906,300,53
5099,64,623,300,156
4681,22,372,300,29
5380,37,956,300,36
1154,99,1983,301,7
2621,59,1268,301,36
3300,85,1217,301,100
4030,92,107,301,28
3727,59,561,301,76
5407,63,171,301,2
1967,55,535,302,17
2519,45,833,302,6
2650,83,1099,302,75
3367,6,1748,302,28
3757,8,443,302,38
140,29,1826,303,28
703,62,1217,303,100
1581,32,1709,303,151
2585,17,1633,303,1
4815,96,94,303,41
5939,45,1845,303,42
5712,84,445,303,118
1693,51,179,304,100
4888,96,1126,304,19
5121,97,1805,304,28
850,74,1573,305,4
2376,49,1978,305,7
2212,90,1973,305,4
3332,18,355,305,124
3651,76,449,305,134
4941,98,1272,305,35
4752,55,862,305,17
5995,64,647,305,8
5749,50,1159,305,28
1326,74,284,306,18
2449,94,872,306,25
2377,1,473,306,29
2710,62,29,306,61
3219,62,859,306,14
5051,82,1932,307,41
4629,30,885,307,28
5446,36,1078,307,61
5257,33,1790,307,100
23,68,584,308,76
3017,65,446,308,53
3641,19,1671,308,14
5448,51,642,308,8
1285,38,1509,309,151
1095,21,704,309,10
1069,78,508,309,12
4852,41,554,309,76
2107,40,1767,310,100
3955,15,38,310,35
3928,77,1935,310,20
4391,45,609,310,125
4183,88,1597,310,118
5331,6,1840,310,61
387,57,962,311,76
905,82,64,311,156
877,17,1522,311,14
2678,63,1291,311,20
3543,55,872,311,25
5306,63,1336,311,15
221,46,342,312,53
2959,79,381,312,134
4276,58,1191,312,4
647,42,132,313,40
2001,97,359,313,35
2395,73,434,313,29
4178,87,1519,313,1
5314,16,906,313,4
1411,20,1927,314,20
1889,98,1128,314,19
3165,63,1975,314,36
5488,38,49,314,3
5455,94,1261,314,7
465,85,1265,315,42
2873,9,882,315,72
3178,28,959,315,41
5550,70,873,315,22
2540,55,71,316,12
2531,95,1176,316,33
2322,7,1725,316,10
2977,48,496,316,118
4043,94,1912,316,29
5108,25,713,316,35
5598,52,292,316,6
5156,26,212,316,32
533,55,1224,317,15
519,52,1840,317,61
2334,83,1591,317,19
5756,53,1987,317,118
3553,32,1744,318,36
4740,63,488,318,61
875,8,1949,319,217
1153,42,1100,319,76
3847,17,1096,319,15
4113,81,749,319,75
4618,17,1803,319,15
5518,65,1280,319,22
5859,87,962,319,76
1890,12,10,320,35
5458,80,226,320,40
5180,57,1735,320,21
5155,24,1574,320,25
5707,59,1080,320,7
1754,9,45,321,68
3804,19,867,321,151
5069,74,1716,321,75
5491,27,845,321,2
5236,79,91,321,20
705,52,1897,322,4
2204,29,333,322,84
2663,67,1602,322,217
3375,91,1416,322,32
5007,81,1739,322,7
5885,40,700,322,20
5777,62,1833,322,1
551,19,1551,323,10
518,37,355,323,124
2450,1,1062,323,36
2067,2,1918,323,36
2908,33,989,323,62
3111,20,35,323,42
4028,24,256,323,23
5557,49,760,323,4
3476,5,1605,324,3
3302,97,216,324,29
3636,18,1923,324,20
5554,23,707,324,17
5521,15,380,324,20
5655,7,1919,324,7
97,18,324,325,15
962,56,1777,325,217
900,15,1505,325,134
2362,54,1733,325,125
2802,54,1672,325,76
3305,25,507,325,124
5377,55,437,325,62
5290,78,1677,325,53
5798,18,1435,325,11
2837,72,779,326,33
2616,73,1379,326,217
204,25,640,327,75
686,40,960,327,68
4991,54,646,327,25
4704,73,1964,327,33
5561,34,125,327,61
5530,54,1995,327,4
1350,2,1069,328,41
1053,10,1381,328,62
1930,17,496,328,118
1730,21,181,328,39
3048,29,960,328,68
3698,84,1303,328,8
4339,51,1469,328,38
746,100,72,329,4
1761,8,1510,329,6
5393,80,816,329,10
446,16,789,330,1
1337,18,950,330,67
2544,20,747,330,7
2465,49,298,330,15
3397,79,596,330,11
3216,29,159,330,28
106,4,756,331,38
845,92,1291,331,20
1401,43,1964,331,33
3272,50,63,331,20
5999,48,707,331,17
54,84,629,332,18
2535,65,977,332,3
3644,46,526,332,17
4927,43,1102,332,32
1465,27,100,333,32
2761,50,1597,333,118
2652,16,1990,333,2
3343,62,1524,333,41
5295,97,272,333,42
266,86,1673,334,3
2825,9,1070,334,39
5891,64,1205,334,29
33,68,432,335,8
943,94,141,335,53
3188,91,154,335,42
4893,78,1749,335,18
865,39,1096,336,15
2283,5,620,336,53
2147,87,1740,336,36
2693,50,269,336,61
3944,87,1849,336,29
4176,81,1591,336,19
5078,80,500,336,41
5154,76,1934,336,12
379,10,1560,337,61
983,87,95,337,84
773,86,1811,337,118
1964,8,86,337,75
1853,77,395,337,11
1627,25,326,337,4
3110,26,561,337,76
4861,97,991,337,1
958,34,790,338,28
873,99,1145,338,134
1160,72,892,338,61
1827,84,790,338,28
3264,93,409,338,12
763,24,1662,339,36
2120,18,422,339,29
4919,84,632,339,17
2690,15,1560,340,61
3854,1,1783,340,62
4188,89,1182,340,118
4959,32,148,340,19
1558,43,1050,341,23
2432,63,1459,341,125
2760,12,1585,341,2
2623,48,178,341,15
3469,93,1864,341,156
4070,81,1486,341,8
5807,1,563,341,17
5758,23,338,341,68
427,57,1216,342,23
1016,11,218,342,25
982,31,435,342,4
1192,44,1347,342,72
1941,53,598,342,4
1835,70,1472,342,21
2458,34,251,342,156
2196,59,55,342,156
4785,70,371,342,76
5850,87,402,342,10
5822,84,541,342,124
256,20,265,343,28
687,100,1090,343,1
1931,96,1186,343,151
2197,64,1132,343,75
3346,77,400,343,151
3159,65,1884,343,23
5321,90,1818,343,1
3661,7,919,344,42
4734,99,1061,344,12
5548,88,1287,344,84
309,8,153,345,1
2603,98,747,345,7
2099,65,1586,346,7
3957,14,1191,346,4
3705,27,1924,346,84
4748,55,1879,346,36
5387,20,846,346,36
375,16,1710,347,76
512,17,1203,347,100
2079,85,1198,347,38
2956,33,1167,347,14
3465,81,227,347,1
3788,83,1362,347,2
4979,39,1162,347,41
4824,100,1191,347,4
5410,39,1638,347,29
5960,19,1863,347,10
5870,91,1883,347,76
1408,81,1601,348,75
3051,46,1173,348,217
2836,62,1419,348,36
2820,80,595,348,22
4108,30,1266,348,10
5510,64,785,348,25
779,29,424,349,125
2193,24,275,349,67
4615,23,810,349,18
269,9,1236,350,22
96,67,368,350,32
3892,91,834,350,10
4268,21,114,350,14
5248,72,1234,350,125
3669,76,929,351,36
4131,5,758,351,18
5604,19,20,351,33
5676,87,178,351,15
2923,8,1491,352,67
5310,1,708,352,38
5841,4,147,352,38
154,49,55,353,156
2560,69,945,353,29
3528,13,1380,353,100
3321,24,441,353,19
3269,39,563,353,17
5637,2,954,353,40
839,40,1520,354,20
805,80,989,354,62
666,62,336,354,67
3369,34,1740,354,36
3663,28,1810,354,53
4220,12,1849,354,29
5523,84,872,354,25
896,58,1151,355,39
846,97,806,355,17
2141,76,1869,355,38
2058,74,1948,355,32
3486,87,605,355,23
3907,22,1667,355,33
3691,28,1815,355,15
4182,86,1244,355,76
1489,95,1963,356,17
2537,23,1869,356,38
2249,55,139,356,19
3449,3,436,356,8
1303,21,1930,357,36
2717,6,1930,357,36
3611,74,1927,357,20
69,24,123,358,10
874,43,1782,358,61
1119,81,132,358,40
2404,78,950,358,67
3408,48,1852,358,2
3388,21,1755,358,68
99,30,1511,359,22
4,89,1806,359,125
2407,74,1502,359,33
1531,30,1542,360,15
2670,18,111,360,33
5029,46,909,360,125
5349,78,1636,360,32
5968,45,1654,360,19
429,14,291,361,68
869,88,588,361,53
592,79,1635,361,2
1427,93,1405,361,84
1363,67,1962,361,20
3287,36,664,361,36
4290,92,1318,361,80
5084,66,227,361,1
5847,87,1253,361,41
13,21,875,362,62
1811,40,1473,362,100
1587,1,1300,362,12
3134,53,833,362,6
165,29,1892,363,62
1429,8,1387,363,29
1035,55,74,363,80
2474,57,1721,363,151
2999,43,1793,363,20
3098,7,1869,363,38
851,56,1994,364,20
1324,50,1228,364,118
2132,52,96,364,4
3204,30,305,364,19
4107,58,1757,364,75
374,27,717,365,75
707,85,1327,365,3
1383,76,379,365,134
1540,20,1391,365,21
1440,60,1312,366,151
1795,79,926,366,67
5004,53,784,366,75
825,94,514,367,125
796,47,259,367,84
2121,97,1202,367,217
3547,50,444,367,151
4330,43,114,367,14
327,10,884,368,53
4886,50,890,368,10
5957,81,1492,368,29
960,21,111,369,33
870,34,394,369,118
1404,42,850,369,6
1392,91,891,369,6
1063,36,1073,369,134
2553,84,1932,369,41
5605,38,1545,369,118
683,33,1323,370,134
1171,86,530,370,35
1855,66,905,370,6
4793,90,342,370,53
507,97,1453,371,62
377,6,217,371,8
823,4,387,371,6
1892,17,1376,371,17
2827,92,647,371,8
5908,33,897,371,76
191,84,198,372,62
750,1,1060,372,76
1073,41,846,372,36
1899,11,1410,372,3
2181,28,670,372,42
4572,6,1465,372,75
5131,22,270,372,1
5930,62,1456,372,12
543,15,1161,373,36
2646,52,1515,373,4
4517,43,628,373,7
4246,96,81,373,156
5043,22,1340,373,23
303,79,1214,374,20
247,85,4,374,14
954,62,241,374,29
3984,85,421,374,40
669,13,472,375,23
2269,93,1929,375,4
2903,94,456,375,2
5391,32,1489,375,38
1691,14,1165,376,11
1597,61,451,376,29
2614,38,949,376,53
4458,15,272,376,42
5504,68,1579,376,19
1773,95,622,377,14
314,2,1076,378,7
1512,65,844,378,35
1958,91,1278,378,118
4520,36,211,378,23
5774,90,451,378,29
1848,16,1990,379,2
2264,18,1706,379,75
3289,43,1257,379,38
3283,24,250,379,1
4477,10,367,379,21
4432,26,1619,379,39
4378,16,48,379,62
4754,10,1223,379,35
346,74,10,380,35
633,37,1554,380,11
3097,59,681,380,2
4149,74,1625,380,72
5799,33,724,380,35
225,57,123,381,10
217,75,296,381,124
1310,100,1174,381,6
1959,4,881,381,124
1935,78,1570,381,68
2937,74,966,381,8
3657,97,507,381,124
4605,93,995,381,19
4123,62,178,381,15
4937,92,526,381,17
5795,70,1968,381,22
504,37,1162,382,41
4148,81,750,382,25
5398,91,291,382,68
5911,53,79,382,14
268,29,217,383,8
1368,71,1041,383,35
1062,2,1380,383,100
3167,21,596,383,11
5775,61,448,383,36
1902,66,1792,384,67
5566,49,1280,384,22
3858,67,247,385,3
4426,88,867,385,151
5471,37,84,385,35
5437,69,1767,385,100
1834,70,1660,386,19
3432,83,1011,386,78
3235,57,1163,386,33
4323,18,222,386,15
5680,47,1366,386,84
772,45,731,387,28
1042,93,1284,387,11
3207,57,1141,387,156
3109,54,138,387,53
4543,26,1949,387,217
5191,72,1902,387,62
1223,1,1521,388,61
3875,12,723,388,134
5838,90,1255,388,28
998,43,754,389,39
719,23,302,389,3
1578,79,877,389,39
2101,7,1710,389,76
3225,70,1431,389,10
2900,15,821,390,15
5105,65,1960,390,14
5580,89,1656,390,3
5551,61,918,390,7
1635,78,204,391,84
2752,82,1208,391,2
4019,32,608,391,22
3776,59,1330,391,72
3629,62,1642,391,62
5244,60,952,391,62
442,97,1730,392,21
179,2,300,392,67
2985,31,1187,392,19
3398,30,1325,392,19
4516,61,1235,392,84
493,86,97,393,67
1216,64,683,393,6
3672,84,158,393,41
4194,21,523,393,118
5836,69,2,393,124
143,49,1306,394,76
694,45,881,394,124
3480,98,665,394,11
4493,91,1455,394,28
5413,5,1274,394,68
858,89,769,395,61
1239,51,1892,395,62
2128,9,205,395,8
2567,32,534,395,72
3406,73,1954,395,118
5190,9,1561,395,134
5160,48,1392,395,17
1330,14,671,396,32
3249,73,301,396,80
3994,22,514,396,125
5348,96,1547,396,29
781,86,1817,397,29
5881,89,1288,397,28
1194,65,1464,398,36
1134,44,1945,398,14
2930,25,1427,398,42
4114,4,342,398,53
4104,29,277,398,134
5894,8,963,399,124
92,94,1512,400,2
1325,66,1776,400,75
2183,6,1013,400,151
2979,26,151,400,20
4428,84,972,400,134
296,20,320,401,67
675,68,771,401,23
637,46,831,401,32
1397,10,1006,401,28
5757,93,367,401,21
5677,49,947,401,40
1354,74,721,402,42
1923,3,602,402,75
1840,48,1239,402,62
2447,93,1457,402,84
2326,51,1361,402,76
2568,1,1914,402,7
4002,96,1181,402,67
3912,86,81,402,156
5864,86,1274,402,68
1262,92,668,403,23
1631,91,302,403,3
2245,46,1045,403,35
2768,71,713,403,35
3234,57,1757,403,75
4999,100,761,403,125
5369,45,202,403,100
1281,99,1438,404,151
4109,82,169,404,38
4698,58,456,404,2
205,42,598,405,4
3563,58,686,405,68
4057,11,1533,405,32
4024,60,1485,405,38
5374,67,745,405,28
5665,86,1674,405,217
281,43,831,406,32
4828,69,730,406,61
541,41,1050,407,23
1407,26,1779,407,15
2042,46,706,407,19
1951,6,515,407,67
2808,71,98,407,67
3371,71,1554,407,11
3588,28,951,407,118
4890,60,1031,407,75
5745,98,1181,407,67
531,61,1421,408,4
516,97,864,408,1
2032,36,1624,408,53
1630,71,1292,408,151
2419,23,598,408,4
2988,29,568,408,100
3852,26,1175,408,80
3843,71,1863,408,10
3632,91,324,408,15
4923,66,113,408,35
5419,48,34,408,10
5139,81,1720,408,67
5962,24,909,408,125
307,77,188,409,35
277,33,1231,409,67
1845,61,440,409,29
1806,100,1679,409,23
2543,31,1924,409,84
3288,24,1596,409,80
4768,31,241,409,29
376,75,241,410,29
114,82,782,410,84
1024,56,221,410,28
1638,43,211,410,23
3859,40,213,410,84
5565,70,1464,410,36
1753,17,1589,411,38
2234,84,362,411,23
2050,61,391,411,80
3940,67,263,411,17
83,80,159,412,28
1254,37,1680,412,3
1837,29,1720,412,67
1818,40,1326,412,4
2381,37,1621,412,8
3446,16,956,412,36
3161,96,1472,412,21
3545,7,785,413,25
3630,22,1846,413,42
4365,81,516,413,36
4133,75,1272,413,35
5094,32,596,413,11
5418,70,1858,413,22
5923,78,1144,413,12
45,76,1449,414,84
1126,1,12,414,15
1962,92,1200,414,10
3233,6,1505,414,134
3124,67,1984,414,62
3882,8,1009,414,25
4311,42,787,414,72
4972,35,398,414,17
2990,3,1278,415,118
4370,18,520,415,12
4715,19,915,415,80
5401,73,1469,415,38
1854,29,1250,416,23
3181,95,349,416,11
4915,53,880,416,76
2027,32,1189,417,1
1643,81,1916,417,78
2557,47,812,417,40
2442,95,1185,417,19
2178,97,92,417,125
3297,31,1155,417,156
3653,82,549,417,4
5501,38,34,417,10
5914,14,1647,417,124
473,19,937,418,39
1399,43,1905,418,100
2070,82,1432,418,61
3536,59,1101,418,36
3262,62,357,418,20
4739,91,1656,418,3
799,92,1767,419,100
2737,86,64,419,156
4562,24,739,419,2
4434,95,1999,419,118
3461,13,1940,420,75
4607,8,1676,420,18
2854,94,1562,421,76
2745,72,1257,421,38
3910,25,1649,421,17
4318,13,122,421,14
4189,15,607,421,41
5140,64,1193,421,217
138,66,1269,422,8
3574,9,122,423,14
4447,76,583,423,76
5031,86,1740,423,36
4693,44,855,423,151
786,24,1473,424,100
1210,91,330,424,134
2501,5,1986,424,100
3567,47,92,424,125
3363,51,664,424,36
4046,41,1996,424,21
4876,81,1073,424,134
1527,14,1277,425,84
1149,85,135,425,32
1675,53,84,425,35
3085,100,97,425,67
3777,93,1834,425,84
523,13,907,426,20
1978,2,1478,426,53
1689,42,1034,426,6
2053,34,1472,426,21
593,52,989,427,62
4015,27,597,427,72
3755,17,54,427,11
4222,3,1540,427,78
4187,13,1679,427,23
5028,35,1583,428,84
5272,79,1116,428,36
5225,16,277,428,134
5851,82,65,428,17
5647,47,1729,428,36
36,77,1987,429,118
514,23,985,429,33
2523,61,941,429,134
2794,2,342,429,53
872,16,1447,430,21
3866,74,1689,430,6
3700,27,774,430,40
4564,53,812,430,40
4289,7,1049,430,80
4137,35,401,430,217
5456,5,1967,430,80
5245,82,1366,430,84
1751,1,903,431,100
2987,93,770,431,21
5508,59,521,431,36
1018,16,185,432,72
636,17,1630,432,40
4675,68,894,432,124
853,25,607,433,41
515,50,994,433,36
1893,36,1725,433,10
2176,46,507,433,124
3025,83,38,433,35
517,52,784,434,75
1619,44,1884,434,23
3031,100,1646,434,217
4598,56,1468,434,2
1948,86,1026,435,42
1783,44,1195,435,22
2235,62,678,435,78
2069,95,392,435,4
3662,45,939,435,1
5996,88,136,435,14
7,25,1586,436,7
4488,28,629,437,18
4237,9,1037,437,151
1679,89,1618,438,28
1124,36,255,439,156
2129,44,1504,439,41
359,43,1445,440,62
170,50,822,440,61
28,60,1268,440,36
1793,32,1401,440,68
2382,35,1407,440,18
3999,84,170,440,39
4848,76,162,440,7
4780,15,1429,440,68
485,53,1997,441,12
966,57,1096,441,15
945,74,744,441,18
1247,98,1205,441,29
1778,20,325,441,32
2466,16,252,441,75
3050,38,924,441,68
4098,99,84,441,35
4667,57,1432,441,61
1234,37,1449,442,84
1114,3,1916,442,78
3387,73,1071,442,35
4500,70,1489,442,38
4472,71,142,442,61
4921,19,1624,442,53
5174,65,1635,442,2
5173,73,57,442,53
5880,2,218,442,25
119,8,1501,443,2
2622,78,1736,443,15
5719,98,1965,443,72
4546,40,414,444,75
4772,6,1744,444,36
1273,2,44,445,18
