avaliacaosk,nota,usuariosk,filmesk,produtorask,calendariosk,enderecosk
12776,4,364,427,21,431,36
18218,2,619,427,21,435,53
12099,2,436,427,21,489,11
12123,1,1735,427,21,597,61
45,1,1561,427,21,599,28
11566,4,392,427,21,612,217
962,1,993,427,21,635,32
14596,2,1527,427,21,659,38
19785,2,782,427,21,662,38
9254,3,564,427,21,666,7
15832,5,764,427,21,750,10
16907,2,284,427,21,784,100
1198,5,1750,427,21,786,217
11469,4,1589,427,21,798,35
9188,4,264,427,21,802,2
19278,4,368,427,21,808,40
7654,2,947,427,21,823,67
13402,2,1024,427,21,826,28
2424,2,1970,427,21,852,10
5007,4,1672,427,21,965,14
19869,3,488,427,21,968,4
4134,2,1504,427,21,1039,39
7587,4,1927,427,21,1069,42
7584,1,759,19,11,3,19
1761,2,254,19,11,7,61
12688,1,436,19,11,38,11
9163,4,407,19,11,43,10
1141,1,1139,19,11,70,2
8936,3,60,19,11,73,61
16905,3,92,19,11,79,80
13538,1,1188,19,11,94,14
6822,2,918,19,11,162,78
5621,4,1567,19,11,163,32
2494,5,1832,19,11,199,15
7836,2,84,19,11,225,72
15751,4,442,19,11,253,4
15411,1,807,19,11,299,28
10985,2,350,19,11,339,72
12253,3,1952,19,11,389,41
7400,2,1991,19,11,409,84
13783,4,1930,19,11,416,20
2562,5,1048,19,11,434,20
14316,1,1933,19,11,503,76
11785,1,274,19,11,526,17
15945,3,1825,19,11,531,14
1396,2,781,19,11,534,22
9352,1,552,19,11,536,19
16248,5,219,19,11,539,151
19037,3,1757,19,11,562,4
16219,4,1040,19,11,563,84
5473,4,1694,19,11,584,7
2532,2,777,19,11,821,2
6217,2,1044,19,11,842,14
19946,3,1338,19,11,877,217
3211,1,816,19,11,884,100
2695,3,387,19,11,898,62
18615,5,339,19,11,913,19
9908,2,656,19,11,952,39
14517,2,295,19,11,1040,2
18949,3,1849,19,11,1074,100
2718,5,1526,19,11,1080,20
2183,3,652,44,9,45,8
5793,2,1800,44,9,150,67
7544,2,1488,44,9,150,17
15040,4,886,44,9,153,18
6517,2,121,44,9,171,12
6624,2,160,44,9,212,14
8983,4,53,44,9,214,75
12322,1,336,44,9,306,20
7452,1,1074,44,9,337,75
15727,5,1037,44,9,364,6
16101,1,1114,44,9,380,67
4154,3,84,44,9,382,72
10805,3,1778,44,9,413,21
19197,3,983,44,9,435,62
11095,2,903,44,9,473,100
3293,5,996,44,9,474,23
18586,5,610,44,9,503,8
11048,2,1184,44,9,525,100
11561,3,1291,44,9,532,17
17920,3,1840,44,9,543,1
18507,1,79,44,9,554,61
17566,3,460,44,9,605,217
1011,1,1032,44,9,616,53
2440,4,1330,44,9,629,35
15172,3,1960,44,9,652,2
13670,5,500,44,9,664,22
5088,3,83,44,9,696,15
7325,4,710,44,9,727,151
17680,4,1833,44,9,802,35
7408,4,1261,44,9,863,20
9186,5,1013,44,9,930,42
19894,1,1305,44,9,940,53
7237,3,636,44,9,982,62
13766,4,1711,44,9,1040,76
6769,1,423,76,17,7,61
5776,5,533,76,17,72,19
13924,5,274,76,17,76,17
10495,4,978,76,17,86,2
5270,1,639,76,17,92,40
11225,2,261,76,17,193,32
15236,3,187,76,17,221,20
2194,3,123,76,17,261,156
16571,2,451,76,17,267,29
15111,2,830,76,17,319,84
5370,2,852,76,17,376,118
12779,2,1197,76,17,380,23
7719,2,351,76,17,384,14
12865,4,1530,76,17,394,14
18619,2,1921,76,17,406,124
15363,1,114,76,17,407,2
5970,2,1838,76,17,569,100
2412,2,1876,76,17,575,156
87,5,253,76,17,612,42
10541,4,948,76,17,643,18
17395,2,1402,76,17,658,28
16678,5,1241,76,17,676,6
7955,4,1305,76,17,738,53
7522,2,1698,76,17,747,217
7634,4,1797,76,17,795,21
2047,1,1959,76,17,865,28
10653,1,681,76,17,867,1
16163,4,1313,76,17,876,33
2126,5,24,76,17,889,156
16852,3,1743,76,17,908,217
9030,1,480,76,17,909,7
12880,1,91,76,17,962,38
2970,3,185,76,17,1028,14
13798,4,306,76,17,1047,7
12330,5,1574,76,17,1051,80
17157,5,1073,76,17,1091,3
12447,5,1895,123,11,115,38
10580,4,624,123,11,124,29
629,3,65,123,11,293,156
10142,2,1131,123,11,296,25
10012,2,1477,123,11,302,22
6256,5,291,123,11,367,23
18612,1,42,123,11,401,39
628,3,1546,123,11,403,23
5168,1,217,123,11,451,33
16591,2,1573,123,11,472,78
10997,3,722,123,11,531,29
19004,3,600,123,11,562,75
1783,2,1700,123,11,570,76
160,1,1728,123,11,574,53
2471,3,366,123,11,580,217
6416,4,848,123,11,592,20
2888,3,1489,123,11,619,68
5678,2,328,123,11,674,25
1327,2,319,123,11,684,10
7881,1,127,123,11,707,67
18593,5,734,123,11,763,38
71,5,768,123,11,797,1
12986,1,651,123,11,801,14
3789,3,1434,123,11,831,42
4029,1,82,123,11,907,10
16842,1,1328,123,11,938,1
10165,5,411,123,11,981,38
16120,5,1921,123,11,1014,124
1419,4,1089,123,11,1075,8
19215,2,1627,130,21,4,39
9158,3,831,130,21,11,29
16196,4,581,130,21,81,84
186,5,616,130,21,87,3
10967,1,1654,130,21,110,8
18334,5,1416,130,21,111,68
2208,2,1865,130,21,126,23
16464,2,1879,130,21,139,6
8851,3,1022,130,21,150,62
18731,2,1751,130,21,171,41
18099,3,1087,130,21,192,125
5773,4,1965,130,21,282,76
10464,2,569,130,21,307,125
916,3,597,130,21,342,17
12552,3,336,130,21,350,20
910,1,1805,130,21,368,100
1957,4,904,130,21,400,19
3309,3,1775,130,21,402,8
2796,2,5,130,21,440,14
4639,5,172,130,21,497,72
9544,5,129,130,21,498,25
12397,1,1217,130,21,512,35
11967,3,1117,130,21,601,1
17660,4,562,130,21,627,38
12465,4,818,130,21,654,118
4714,4,948,130,21,657,18
9118,1,432,130,21,666,1
18935,2,1520,130,21,722,68
4068,4,1175,130,21,732,42
17076,1,1768,130,21,778,28
18682,4,246,130,21,805,23
18629,4,1909,130,21,848,12
10857,5,1892,130,21,861,67
1824,2,92,130,21,884,80
5394,2,112,130,21,936,125
11683,3,1833,130,21,939,35
7575,1,1436,130,21,945,25
13910,3,1432,130,21,963,29
8586,5,1975,130,21,1027,17
4843,4,1404,130,21,1043,41
12614,2,678,130,21,1043,12
11295,2,1292,130,21,1086,11
418,4,1269,334,17,23,1
7095,5,15,334,17,31,100
3189,3,584,334,17,179,100
5769,5,1151,334,17,232,36
5405,2,264,334,17,243,2
5055,4,198,334,17,293,42
3380,1,1685,334,17,308,17
10263,3,806,334,17,351,151
16191,4,468,334,17,385,217
2599,5,242,334,17,390,76
6229,3,1870,334,17,411,33
6752,1,1914,334,17,441,12
13773,3,282,334,17,471,1
1193,3,1996,334,17,474,125
19462,4,465,334,17,534,61
9695,1,1816,334,17,591,61
17112,2,898,334,17,600,6
9844,4,893,334,17,646,7
123,3,721,334,17,693,62
11267,3,675,334,17,711,4
3819,2,1208,334,17,776,25
8980,1,1721,334,17,782,40
810,2,867,334,17,782,38
1713,5,630,334,17,817,28
10536,2,111,334,17,850,38
12753,3,311,334,17,855,76
2722,5,1299,334,17,863,4
6354,4,1828,334,17,874,1
19777,5,197,334,17,945,53
2977,4,1586,334,17,968,76
2076,1,965,334,17,978,38
19097,1,977,334,17,1000,29
5201,1,1829,334,17,1026,8
945,4,1877,334,17,1030,8
18457,3,1797,334,17,1030,21
12182,4,1322,334,17,1034,36
4480,3,106,334,17,1074,68
3762,1,1175,334,17,1079,42
7169,4,508,389,16,54,42
12514,4,578,389,16,94,23
244,1,1460,389,16,140,68
6439,4,970,389,16,158,10
1179,5,317,389,16,204,19
2731,3,1917,389,16,260,124
5386,4,1645,389,16,275,100
17387,2,110,389,16,334,156
1802,4,1413,389,16,342,17
14294,2,1723,389,16,356,23
2546,2,1860,389,16,357,23
16607,1,241,389,16,357,118
12141,2,796,389,16,387,134
12965,5,396,389,16,407,32
18999,2,873,389,16,417,36
16654,1,1487,389,16,475,42
13527,2,1811,389,16,489,39
751,3,673,389,16,547,62
10455,2,1134,389,16,592,125
13701,4,1792,389,16,609,4
19743,2,1423,389,16,653,124
12060,3,1612,389,16,656,151
16164,3,582,389,16,657,40
17362,3,698,389,16,660,15
10685,2,1747,389,16,663,29
7689,4,1175,389,16,667,42
15160,2,1440,389,16,668,2
7998,2,1005,389,16,676,12
7950,4,560,389,16,683,53
492,2,1257,389,16,711,23
11266,2,867,389,16,744,38
3641,2,594,389,16,755,15
19192,2,180,389,16,824,40
218,2,1040,389,16,846,84
767,1,1571,389,16,851,41
17497,1,67,389,16,894,10
2197,1,942,389,16,961,20
9912,1,1099,389,16,1014,28
17134,2,401,389,16,1027,7
10457,1,1722,389,16,1032,35
3313,2,676,389,16,1057,20
5458,3,811,389,16,1073,100
3681,5,1131,389,16,1085,25
8044,3,397,389,16,1089,156
4971,1,565,395,4,67,78
19020,2,1636,395,4,113,29
584,4,1288,395,4,128,21
19631,3,1703,395,4,148,21
4047,1,683,395,4,155,40
6727,3,739,395,4,241,76
18823,2,1943,395,4,251,12
12516,4,1361,395,4,420,62
3660,1,201,395,4,426,22
12591,3,431,395,4,479,22
9097,1,1123,395,4,490,25
10604,3,1048,395,4,510,20
5983,2,1202,395,4,519,42
13692,4,1643,395,4,571,23
6897,1,1867,395,4,611,53
7907,1,1544,395,4,613,1
5232,1,964,395,4,787,20
431,5,356,395,4,849,84
18960,2,43,395,4,849,36
17858,1,478,395,4,858,11
460,1,742,395,4,898,84
6411,3,656,395,4,914,39
17414,2,1540,395,4,956,151
10586,5,363,395,4,984,76
10830,4,948,395,4,1009,18
17573,1,1339,395,4,1036,33
12750,4,1778,395,4,1050,21
14356,3,1393,395,4,1051,33
15031,2,66,395,4,1076,35
17485,4,124,12,21,13,40
13414,2,578,12,21,77,23
18627,2,1457,12,21,124,21
12968,3,1902,12,21,127,61
5159,1,1783,12,21,150,35
18308,1,605,12,21,168,67
17127,2,740,12,21,255,29
1886,3,574,12,21,278,40
2131,2,642,12,21,309,62
12834,2,1693,12,21,433,78
17240,1,1453,12,21,437,2
588,4,1476,12,21,445,23
901,2,190,12,21,476,19
13281,2,1193,12,21,482,156
11204,5,871,12,21,555,28
7012,1,1654,12,21,565,8
17175,3,53,12,21,566,75
6398,1,1187,12,21,569,76
11905,2,534,12,21,590,36
3527,3,1868,12,21,668,7
15361,4,1515,12,21,698,62
14620,1,437,12,21,737,39
3055,1,1556,12,21,753,7
8048,2,686,12,21,784,53
15275,2,1947,12,21,838,72
10052,4,1203,12,21,857,41
7194,5,598,12,21,883,53
3446,1,1030,12,21,950,38
17890,3,220,12,21,971,2
10079,3,879,12,21,996,62
10734,1,681,12,21,1006,1
11987,4,1623,12,21,1092,32
5538,3,463,147,21,11,36
5839,1,1281,147,21,22,53
4840,2,61,147,21,48,8
12241,1,152,147,21,145,42
10247,4,1605,147,21,150,125
10697,4,1635,147,21,152,20
11166,5,1212,147,21,181,1
15266,4,870,147,21,209,38
7371,1,59,147,21,224,23
11794,4,955,147,21,258,8
4591,3,1859,147,21,375,41
10900,5,1254,147,21,375,156
9661,2,687,147,21,414,10
19367,5,650,147,21,446,29
10823,5,166,147,21,461,3
16931,4,1569,147,21,477,100
19774,1,1493,147,21,483,80
2582,2,1060,147,21,528,80
9659,5,1187,147,21,559,76
16615,1,1275,147,21,585,78
3541,1,773,147,21,611,75
15477,3,1444,147,21,615,72
13800,3,566,147,21,652,124
7758,3,470,147,21,653,62
1546,3,602,147,21,702,151
5655,2,474,147,21,705,22
3694,5,281,147,21,706,78
13891,1,1468,147,21,720,61
11933,4,68,147,21,760,1
19419,4,1092,147,21,764,76
18449,1,1600,147,21,774,75
8339,1,1306,147,21,789,134
7172,2,175,147,21,793,11
16604,3,218,147,21,807,32
10640,5,1455,147,21,840,75
9776,4,683,147,21,854,40
1530,4,534,147,21,916,36
19875,1,1606,147,21,961,36
16541,4,1646,147,21,970,35
18975,3,1574,147,21,980,80
488,4,998,147,21,1082,72
14919,1,287,172,9,9,19
15240,5,1889,172,9,18,6
8782,5,950,172,9,31,41
18701,1,829,172,9,63,14
8105,4,1639,172,9,81,75
420,4,1374,172,9,91,84
7678,1,718,172,9,105,22
14495,3,1466,172,9,194,61
4650,5,711,172,9,200,19
19992,5,1684,172,9,207,78
19034,1,1080,172,9,212,23
5670,2,1673,172,9,218,22
18071,3,1084,172,9,232,8
993,1,1200,172,9,267,17
14936,2,14,172,9,345,100
2304,1,418,172,9,384,67
5077,5,664,172,9,440,53
575,1,559,172,9,464,156
4883,4,1153,172,9,469,67
4097,3,852,172,9,498,118
16797,2,750,172,9,498,78
18262,5,205,172,9,631,20
9286,3,746,172,9,669,14
19953,4,282,172,9,671,1
17435,4,1355,172,9,684,125
16941,1,45,172,9,689,2
19398,2,128,172,9,703,29
6771,3,1916,172,9,734,61
17433,2,269,172,9,788,20
8445,4,586,172,9,817,151
13660,2,1825,172,9,850,14
11119,1,1695,172,9,851,12
12168,5,1718,172,9,857,156
19454,5,1940,172,9,915,33
19705,4,1713,172,9,948,80
130,2,908,172,9,954,76
14200,2,1275,172,9,1063,78
13343,3,1938,172,9,1066,28
2264,2,520,172,9,1066,100
14280,5,1902,172,9,1071,61
18212,2,1452,172,9,1088,7
9937,5,1472,211,10,50,1
18325,3,1526,211,10,51,20
7249,3,397,211,10,93,156
7489,5,827,211,10,142,17
16195,5,394,211,10,151,10
12192,2,1583,211,10,238,84
12468,1,1091,211,10,241,125
2640,1,1958,211,10,269,25
13634,1,1362,211,10,310,17
11669,4,823,211,10,322,15
5377,1,851,211,10,414,7
3088,2,44,211,10,482,42
5902,1,1596,211,10,531,125
7375,5,1170,211,10,540,12
213,2,170,211,10,651,28
11153,4,302,211,10,681,124
14289,4,922,211,10,732,36
4431,1,543,211,10,735,68
16909,4,422,211,10,739,39
17675,1,1759,211,10,742,80
371,5,1232,211,10,758,151
5054,4,418,211,10,821,67
17359,4,1059,211,10,839,8
13804,4,335,211,10,842,14
8601,1,1941,211,10,850,12
10005,5,825,211,10,850,39
1605,5,1027,211,10,856,68
4081,2,1803,211,10,871,118
2107,3,1821,211,10,875,62
18043,5,1674,211,10,888,35
11403,4,580,211,10,890,15
2534,4,1619,211,10,929,61
16087,4,1028,211,10,931,38
17747,1,1391,211,10,966,68
8669,2,1468,211,10,968,61
8493,3,1605,211,10,970,125
7258,5,595,211,10,974,4
3101,1,190,211,10,1004,19
17293,4,1155,211,10,1055,125
18146,4,906,211,10,1066,28
3534,4,1274,318,15,13,75
14030,3,225,318,15,24,10
297,4,1757,318,15,50,4
16515,4,640,318,15,68,75
12152,2,672,318,15,117,75
1548,4,1135,318,15,119,14
126,5,999,318,15,153,18
8948,5,793,318,15,242,7
996,1,1992,318,15,248,8
19098,3,361,318,15,258,35
5222,1,1603,318,15,285,8
13582,3,1404,318,15,321,41
13044,3,1303,318,15,404,12
17009,2,1028,318,15,409,38
4332,5,1820,318,15,444,75
18626,2,1777,318,15,444,11
1685,1,1731,318,15,452,10
13161,2,220,318,15,465,2
12944,1,1098,318,15,495,3
12913,3,1776,318,15,519,42
9486,3,1612,318,15,533,151
11703,4,1874,318,15,534,61
12111,5,139,318,15,534,62
14611,3,1051,318,15,547,25
5535,3,229,318,15,586,62
8901,4,1488,318,15,595,17
13271,4,927,318,15,626,2
3153,1,1123,318,15,641,25
8151,4,711,318,15,649,19
228,4,367,318,15,657,67
14342,5,1895,318,15,707,38
18553,4,1817,318,15,787,62
8852,4,1889,318,15,840,6
10444,4,1824,318,15,856,17
13451,1,641,318,15,871,6
11957,4,1045,318,15,885,32
17693,1,1237,318,15,892,4
16867,5,993,318,15,915,32
5639,3,885,318,15,953,72
10792,1,1708,318,15,959,28
12341,1,1846,318,15,978,33
2499,1,1032,318,15,982,53
19675,5,1236,318,15,996,36
1232,4,751,318,15,1016,10
10033,2,176,318,15,1017,68
8640,4,1377,318,15,1042,76
6821,1,1623,318,15,1055,32
3077,3,1938,318,15,1080,28
15207,4,1960,318,15,1082,2
7487,5,1899,363,13,2,20
13166,4,658,363,13,14,19
16596,5,467,363,13,36,20
5761,3,921,363,13,58,15
4625,5,1337,363,13,91,39
395,1,805,363,13,100,14
12596,1,1093,363,13,110,2
3018,2,756,363,13,124,21
4471,5,1523,363,13,234,72
5403,3,692,363,13,246,20
4523,2,1864,363,13,258,72
15789,5,562,363,13,273,38
15068,2,1193,363,13,311,156
14164,4,441,363,13,330,12
2536,5,782,363,13,332,38
16533,1,244,363,13,364,41
17682,3,675,363,13,401,4
14735,5,1936,363,13,429,125
2122,5,475,363,13,492,217
13739,5,1432,363,13,493,29
16368,4,1294,363,13,503,4
4141,1,1648,363,13,507,80
2829,5,200,363,13,508,39
13602,3,1854,363,13,527,4
6380,1,1010,363,13,535,14
9590,3,81,363,13,538,29
6006,4,688,363,13,576,61
18714,3,213,363,13,577,42
2526,3,732,363,13,581,217
16715,1,143,363,13,593,15
1236,4,390,363,13,635,33
11315,5,1528,363,13,639,217
2249,2,153,363,13,646,20
16269,5,1649,363,13,699,118
17515,2,1009,363,13,700,11
9693,1,1717,363,13,702,12
13763,5,1279,363,13,773,28
3554,5,6,363,13,877,6
11718,3,665,363,13,914,134
9532,2,240,363,13,920,39
19312,1,1226,363,13,923,18
18355,4,1960,363,13,957,2
18112,1,1308,363,13,998,8
3513,4,1760,363,13,1071,41
7782,4,1030,363,13,1077,38
13319,5,1887,372,21,16,17
15935,5,1486,372,21,35,10
2572,3,676,372,21,49,20
16239,3,1432,372,21,68,29
14015,3,1696,372,21,69,29
28,3,1700,372,21,94,76
1410,3,1200,372,21,117,17
5903,4,552,372,21,191,19
19121,3,148,372,21,252,11
10771,4,305,372,21,283,1
5218,1,156,372,21,339,14
4196,2,988,372,21,344,84
12420,2,173,372,21,352,3
18494,3,1498,372,21,358,17
14075,5,1038,372,21,375,151
18303,4,1034,372,21,375,42
1819,2,1062,372,21,377,22
2160,5,1189,372,21,385,11
16666,5,718,372,21,417,22
12324,4,1023,372,21,437,124
4817,5,1689,372,21,453,156
11407,2,379,372,21,482,1
16232,4,1630,372,21,511,125
9394,4,1733,372,21,536,17
16747,2,1183,372,21,545,4
15174,2,393,372,21,586,12
11698,2,434,372,21,608,20
6989,2,1414,372,21,623,38
9005,3,444,372,21,693,100
1057,3,492,372,21,699,84
11391,2,1559,372,21,735,68
17845,1,1119,372,21,745,134
10260,5,1058,372,21,756,33
6085,5,930,372,21,833,75
12499,3,134,372,21,865,15
8833,3,590,372,21,915,32
15442,1,326,372,21,971,75
7770,3,166,372,21,989,3
12817,1,1681,372,21,992,75
11054,4,1025,372,21,1010,36
19232,3,1381,372,21,1066,217
17849,3,787,372,21,1074,84
18944,2,1166,379,4,7,67
9727,3,1913,379,4,71,17
2246,5,900,379,4,146,68
16298,2,1050,379,4,200,124
17633,5,89,379,4,240,151
3287,1,405,379,4,257,76
13700,1,1537,379,4,265,2
6958,3,81,379,4,288,29
19841,4,1099,379,4,307,28
12040,4,154,379,4,312,67
7388,1,1540,379,4,353,151
8543,3,974,379,4,375,2
8463,2,519,379,4,375,7
3898,3,239,379,4,375,11
6157,3,1408,379,4,442,68
5190,4,1080,379,4,449,23
11867,1,617,379,4,481,61
8099,3,632,379,4,513,18
12054,4,893,379,4,541,7
1962,5,638,379,4,575,23
7684,3,75,379,4,584,23
14479,3,1562,379,4,608,40
18039,1,669,379,4,641,4
11067,5,1340,379,4,754,84
15282,1,1535,379,4,780,8
3576,5,314,379,4,814,25
14750,5,705,379,4,892,23
16919,2,236,379,4,900,18
19088,5,1788,379,4,933,2
8827,3,601,379,4,951,17
17299,1,2000,379,4,1021,21
17975,5,1069,379,4,1035,217
10356,5,1201,379,4,1072,62
3909,1,902,379,4,1075,3
6999,4,1732,409,12,25,29
3166,1,1153,409,12,30,67
5032,5,1157,409,12,150,6
18503,3,76,409,12,155,53
4347,4,250,409,12,242,20
86,4,1856,409,12,247,75
15718,4,1818,409,12,267,23
452,3,1112,409,12,316,2
14268,3,64,409,12,317,40
2106,3,1957,409,12,393,12
16320,1,658,409,12,493,19
19989,2,181,409,12,544,28
349,1,1835,409,12,619,18
1085,1,1336,409,12,631,41
11883,2,122,409,12,654,76
2612,5,1219,409,12,666,20
18925,4,1962,409,12,755,68
4270,5,1579,409,12,801,76
13985,3,1154,409,12,813,20
17042,1,518,409,12,852,18
13422,4,1071,409,12,869,80
17968,2,102,409,12,893,62
16126,1,349,409,12,926,40
18956,1,1156,409,12,1000,80
2190,4,1461,409,12,1007,35
15947,1,216,409,12,1018,75
1954,2,449,409,12,1020,25
8772,5,336,409,12,1053,20
10829,3,1130,409,12,1059,10
5800,2,1929,409,12,1089,40
16445,4,1434,455,11,23,42
2676,4,1118,455,11,39,75
17556,4,1377,455,11,128,76
14854,2,661,455,11,160,17
3851,3,1179,455,11,178,42
14941,3,465,455,11,186,61
11443,2,333,455,11,188,53
11490,2,1454,455,11,205,10
17353,4,765,455,11,305,62
4098,3,1691,455,11,327,40
8784,3,1084,455,11,328,8
18692,3,640,455,11,361,75
8740,2,427,455,11,427,42
15017,2,310,455,11,483,11
14416,3,1663,455,11,490,124
1975,5,574,455,11,494,40
16192,5,1304,455,11,583,118
3275,3,1006,455,11,590,67
6184,1,1557,455,11,596,68
14873,2,413,455,11,620,8
8519,2,1516,455,11,632,84
10312,1,24,455,11,655,156
11783,4,389,455,11,697,17
7672,3,1155,455,11,706,125
11702,4,417,455,11,714,72
12692,1,752,455,11,737,29
714,1,1611,455,11,752,40
8372,1,794,455,11,815,12
7166,2,596,455,11,819,17
11594,4,1532,455,11,830,33
14184,1,385,455,11,835,75
7387,1,528,455,11,836,6
18783,1,666,455,11,840,15
16220,5,235,455,11,842,38
16390,5,63,455,11,845,76
14623,3,1710,455,11,865,125
15707,3,1558,455,11,878,118
5050,4,1065,455,11,883,39
12805,4,319,455,11,923,10
12648,4,1440,455,11,992,2
10603,3,1267,455,11,1003,62
18448,3,1339,455,11,1015,33
4158,5,1167,455,11,1049,32
17102,1,1138,455,11,1070,12
4215,2,1714,455,11,1080,28
14229,5,1920,39,8,54,14
7924,1,542,39,8,100,12
1403,4,355,39,8,156,36
5376,2,1476,39,8,190,23
1593,1,944,39,8,191,125
12755,4,627,39,8,205,67
15994,3,228,39,8,226,134
4401,4,958,39,8,263,29
13198,2,1756,39,8,273,28
10118,3,947,39,8,290,67
14350,4,847,39,8,294,39
18818,1,416,39,8,298,25
17964,4,1241,39,8,336,6
13998,4,422,39,8,362,39
19879,1,940,39,8,366,15
8755,5,1321,39,8,376,10
10716,3,91,39,8,380,38
18632,5,1541,39,8,387,14
13247,4,1811,39,8,409,39
14151,1,1316,39,8,571,4
2983,5,695,39,8,594,40
4183,4,229,39,8,617,62
8587,5,1023,39,8,622,124
17284,4,259,39,8,622,78
19935,5,886,39,8,626,18
17420,1,1096,39,8,635,17
17300,3,1179,39,8,688,42
7403,3,655,39,8,717,61
19052,2,1848,39,8,728,124
17537,2,1430,39,8,739,23
18198,1,898,39,8,771,6
19297,2,1647,39,8,845,15
9920,4,1904,39,8,872,151
15661,5,989,39,8,905,134
14124,1,1531,39,8,931,6
11893,3,1619,39,8,954,61
7664,1,601,39,8,959,17
18410,5,497,39,8,1007,76
9637,1,331,39,8,1021,78
19712,4,1816,39,8,1044,61
7415,1,1569,291,21,80,100
15747,4,1097,291,21,109,15
3635,5,1478,291,21,133,22
16394,5,877,291,21,154,22
17692,5,1297,291,21,162,21
4760,3,1226,291,21,162,18
17036,3,1374,291,21,170,84
8508,3,769,291,21,175,20
9812,5,1618,291,21,232,2
18697,1,605,291,21,301,67
13012,1,341,291,21,348,11
19912,3,371,291,21,351,39
11348,3,947,291,21,394,67
6756,3,878,291,21,459,20
9443,3,182,291,21,461,32
14010,5,314,291,21,493,25
7797,2,735,291,21,499,28
13637,4,848,291,21,500,20
10524,3,1582,291,21,588,40
7994,1,1050,291,21,606,124
10072,1,525,291,21,625,33
8874,2,697,291,21,758,11
12231,5,1335,291,21,773,84
7707,4,1664,291,21,779,124
18443,4,981,291,21,837,23
18327,5,762,291,21,847,10
15080,3,636,291,21,851,62
19681,2,1380,291,21,929,76
1868,5,867,291,21,935,38
7550,4,713,291,21,950,125
7723,1,1373,291,21,975,4
1015,3,1290,291,21,977,75
1192,2,1546,291,21,1016,23
12881,5,1746,291,21,1027,53
10864,5,1599,291,21,1042,2
7716,3,638,291,21,1062,23
5464,5,432,291,21,1063,1
13741,2,11,364,5,11,12
8041,4,428,364,5,14,22
9288,2,367,364,5,42,67
16148,2,453,364,5,50,39
4075,1,416,364,5,71,25
4386,4,1515,364,5,74,62
16017,3,1983,364,5,145,12
6037,2,1586,364,5,151,76
11394,4,106,364,5,166,68
3816,3,1964,364,5,191,7
3567,3,1221,364,5,194,20
2655,5,1661,364,5,200,14
13893,4,969,364,5,205,2
998,3,451,364,5,214,29
2685,2,1957,364,5,224,12
11134,4,362,364,5,243,61
114,4,1669,364,5,279,25
9227,4,1570,364,5,279,80
18550,2,1356,364,5,330,125
6294,1,726,364,5,349,68
17035,5,1394,364,5,360,134
14147,3,1704,364,5,377,21
3261,5,714,364,5,384,76
10725,1,151,364,5,385,67
17349,3,1284,364,5,419,35
3302,3,1856,364,5,428,75
2958,3,1673,364,5,449,22
11621,4,217,364,5,451,33
507,3,1769,364,5,472,22
3305,3,1165,364,5,475,42
3559,4,111,364,5,519,38
8735,1,250,364,5,590,20
14110,2,1340,364,5,649,84
3802,3,1126,364,5,657,68
13294,2,1088,364,5,668,18
14968,3,1511,364,5,693,12
11284,3,623,364,5,710,32
3756,5,1613,364,5,721,3
2544,3,1897,364,5,724,12
4828,2,761,364,5,745,25
13297,5,8,364,5,777,19
12037,3,1078,364,5,800,217
13225,2,88,364,5,812,21
9312,5,636,364,5,837,62
19687,5,637,364,5,862,53
13490,4,1085,364,5,873,62
12430,4,1390,364,5,914,67
11871,3,1506,364,5,948,61
2642,3,1998,364,5,985,14
15276,1,1531,364,5,987,6
5810,5,1939,364,5,1010,134
6667,5,609,364,5,1027,80
3607,1,854,364,5,1035,4
905,3,682,396,10,18,25
5281,4,1084,396,10,35,8
9342,2,1,396,10,59,76
18033,3,251,396,10,81,2
4618,2,195,396,10,105,7
12729,4,818,396,10,115,118
4170,5,1259,396,10,117,14
7029,5,707,396,10,164,7
14835,5,537,396,10,184,1
17416,1,1184,396,10,195,100
9301,4,540,396,10,253,41
14548,1,1775,396,10,272,8
12193,4,1809,396,10,336,84
5023,1,269,396,10,340,20
15346,4,37,396,10,364,156
3591,3,1366,396,10,370,84
570,3,1883,396,10,394,151
17052,1,1951,396,10,439,19
12625,3,1080,396,10,461,23
18657,2,847,396,10,520,39
2601,3,1829,396,10,568,8
12545,1,528,396,10,621,6
8282,2,1162,396,10,653,217
15088,5,1761,396,10,656,17
9119,3,524,396,10,721,17
331,3,1187,396,10,827,76
13952,2,334,396,10,828,29
2915,1,1296,396,10,834,20
12240,1,780,396,10,865,72
470,5,1884,396,10,886,32
79,1,1742,396,10,894,1
14621,2,40,396,10,898,6
14530,2,1855,396,10,937,6
10231,3,1339,396,10,969,33
10945,3,53,396,10,1010,75
2935,3,593,396,10,1035,36
15097,5,394,396,10,1039,10
10330,4,691,396,10,1061,32
18915,4,380,396,10,1075,12
18411,5,1521,35,12,67,1
1386,3,1425,35,12,136,53
3687,5,1401,35,12,136,32
15829,3,1388,35,12,148,39
7033,2,556,35,12,197,41
9928,2,1200,35,12,207,17
13571,1,351,35,12,230,14
18653,5,1740,35,12,263,125
5485,1,1192,35,12,309,4
9880,2,1289,35,12,312,28
9948,3,1001,35,12,322,39
8967,3,494,35,12,359,32
16577,5,831,35,12,364,29
2296,5,751,35,12,369,10
11234,5,1320,35,12,381,68
13134,4,1177,35,12,395,42
